event_datetime,number_of_tickets,human_datetime
2023-12-22 16:30:00,168,"Fri 22 Dec,  4:30 pm"
2023-12-22 19:30:00,343,"Fri 22 Dec,  7:30 pm"
2023-12-26 14:00:00,133,"Tue 26 Dec,  2:00 pm"
2023-12-26 16:30:00,194,"Tue 26 Dec,  4:30 pm"
2023-12-27 14:00:00,169,"Wed 27 Dec,  2:00 pm"
2023-12-27 16:30:00,164,"Wed 27 Dec,  4:30 pm"
2023-12-27 19:30:00,122,"Wed 27 Dec,  7:30 pm"
2023-12-28 14:00:00,186,"Thu 28 Dec,  2:00 pm"
2023-12-28 16:30:00,115,"Thu 28 Dec,  4:30 pm"
2023-12-28 19:30:00,89,"Thu 28 Dec,  7:30 pm"
2023-12-29 11:00:00,101,"Fri 29 Dec, 11:00 am"
2023-12-29 14:00:00,134,"Fri 29 Dec,  2:00 pm"
2023-12-29 16:30:00,191,"Fri 29 Dec,  4:30 pm"
2023-12-30 11:00:00,80,"Sat 30 Dec, 11:00 am"
2023-12-30 14:00:00,158,"Sat 30 Dec,  2:00 pm"
2023-12-30 16:30:00,264,"Sat 30 Dec,  4:30 pm"
2023-12-31 11:00:00,147,"Sun 31 Dec, 11:00 am"
2023-12-31 14:00:00,353,"Sun 31 Dec,  2:00 pm"
