ward_code,orders,tickets
E05000794,2,5
E05000814,1,2
E05000976,1,2
E05000980,1,1
E05000986,1,3
E05000988,2,4
E05001292,1,2
E05001341,1,2
E05001342,7,18
E05001343,1,3
E05001344,1,2
E05001345,2,8
E05001347,5,17
E05001348,1,3
E05001349,3,7
E05001350,1,2
E05001352,2,6
E05001353,7,21
E05001354,7,28
E05001356,1,2
E05001360,2,4
E05001362,13,30
E05001363,2,6
E05001365,3,6
E05001366,4,14
E05001368,1,1
E05001369,1,2
E05001371,2,8
E05001372,2,9
E05001375,3,8
E05001377,1,2
E05001381,1,2
E05001383,2,8
E05001384,1,2
E05001385,1,2
E05001390,1,2
E05001392,5,11
E05001396,1,2
E05001397,1,2
E05001398,1,4
E05001399,1,2
E05001400,1,4
E05001402,4,7
E05001403,2,7
E05001405,2,11
E05001408,3,11
E05001409,3,7
E05001445,2,3
E05001446,3,8
E05001447,2,4
E05001448,1,1
E05001449,2,4
E05001454,1,1
E05001455,1,2
E05001458,7,19
E05001459,1,1
E05001461,5,13
E05001462,1,1
E05001464,3,11
E05001552,1,5
E05001697,1,1
E05001702,1,2
E05001704,2,5
E05001739,1,3
E05003282,1,2
E05003284,2,4
E05005633,1,2
E05006300,1,2
E05008559,3,7
E05008561,2,11
E05008638,1,1
E05008968,1,2
E05009051,1,1
E05009668,1,4
E05009674,1,1
E05009682,1,4
E05009701,1,6
E05010044,2,6
E05010049,1,2
E05010054,1,2
E05010056,1,6
E05010058,2,6
E05010075,1,2
E05010318,1,5
E05010322,3,10
E05010325,1,5
E05010326,3,15
E05010327,3,6
E05010328,1,3
E05010330,1,2
E05010427,1,1
E05010626,1,5
E05010741,1,2
E05010747,1,1
E05010860,1,4
E05010862,2,8
E05010871,1,2
E05010882,2,5
E05010909,2,4
E05010925,1,2
E05011099,1,6
E05011157,1,1
E05011254,1,3
E05011308,1,5
E05011312,1,3
E05011315,1,2
E05011319,1,2
E05011321,3,5
E05011324,1,1
E05011325,1,6
E05011326,1,4
E05011329,1,1
E05011330,5,18
E05011333,1,1
E05011336,1,1
E05011341,1,2
E05011343,1,2
E05011345,6,22
E05011346,1,4
E05011350,1,2
E05011354,1,2
E05011363,1,2
E05011367,1,1
E05011369,1,2
E05011375,1,2
E05011380,1,2
E05011384,9,21
E05011385,15,26
E05011387,11,26
E05011388,20,44
E05011389,27,64
E05011390,69,190
E05011391,13,34
E05011394,9,20
E05011395,9,37
E05011396,8,27
E05011397,29,70
E05011399,21,50
E05011400,6,16
E05011401,5,15
E05011402,22,60
E05011403,43,86
E05011404,8,19
E05011405,42,109
E05011406,17,43
E05011407,8,22
E05011409,5,12
E05011410,26,59
E05011411,53,136
E05011413,35,101
E05011414,6,15
E05011447,1,3
E05011454,1,2
E05011539,2,2
E05011547,38,109
E05011549,18,41
E05011971,1,4
E05012228,1,4
E05012243,1,4
E05012274,1,2
E05012365,1,2
E05012379,1,1
E05012389,1,3
E05012615,1,2
E05012647,45,96
E05012648,15,37
E05012841,17,60
E05012842,35,78
E05013043,1,2
E05013206,1,7
E05013696,1,4
E05013697,2,2
E05013718,1,2
E05013812,1,2
E05013830,4,8
E05013831,15,34
E05013880,1,2
E05014025,1,2
E05014156,1,2
S13002888,1,5
S13002931,1,1
