week_ending,events,audience,cumulative_events,cumulative_audience
2022-10-21,1,0,1,0
2022-10-28,0,0,1,0
2022-11-04,0,0,1,0
2022-11-11,0,0,1,0
2022-11-18,0,0,1,0
2022-11-25,0,0,1,0
2022-12-02,0,0,1,0
2022-12-09,0,0,1,0
2022-12-16,0,0,1,0
2022-12-23,0,0,1,0
2022-12-30,0,0,1,0
2023-01-06,0,0,1,0
2023-01-13,0,0,1,0
2023-01-20,0,0,1,0
2023-01-27,0,0,1,0
2023-02-03,0,0,1,0
2023-02-10,1,0,2,0
2023-02-17,0,0,2,0
2023-02-24,1,8,3,8
2023-03-03,2,39,5,47
2023-03-10,0,0,5,47
2023-03-17,3,42,8,89
2023-03-24,8,94,16,183
2023-03-31,3,58,19,241
2023-04-07,2,43,21,284
2023-04-14,2,25,23,309
2023-04-21,3,76,26,385
2023-04-28,9,296,35,681
2023-05-05,2,270,37,951
2023-05-12,4,657,41,1608
2023-05-19,1,8,42,1616
