ward_code,orders,tickets
E05001353,2,3
E05001403,1,2
E05001409,1,2
E05001458,2,8
E05001464,2,2
E05008559,1,1
E05008785,1,4
E05011336,1,3
E05011361,1,1
E05011384,4,8
E05011385,1,2
E05011388,1,2
E05011389,1,2
E05011390,4,10
E05011391,4,7
E05011394,2,3
E05011395,1,2
E05011396,12,22
E05011397,6,12
E05011399,5,9
E05011400,5,17
E05011401,1,2
E05011402,3,8
E05011403,10,12
E05011405,2,4
E05011406,1,2
E05011407,2,5
E05011409,1,2
E05011410,4,10
E05011411,5,8
E05011413,7,25
E05011414,2,3
E05011547,1,2
E05011549,1,1
E05012216,1,1
E05012648,3,3
E05012842,9,23
E05013031,1,1
E05013831,3,5
