ward_code,total_engagements,total_number_of_learners
E05011384,0,0
E05011385,0,0
E05011387,1,30
E05011388,3,240
E05011389,0,0
E05011390,3,150
E05011391,0,0
E05011394,0,0
E05011396,0,0
E05011397,0,0
E05011399,0,0
E05011400,0,0
E05011401,0,0
E05011402,0,0
E05011403,0,0
E05011404,2,136
E05011405,1,57
E05011406,0,0
E05011407,0,0
E05011409,0,0
E05011410,0,0
E05011411,1,30
E05011413,0,0
E05011414,0,0
E05011547,0,0
E05011549,0,0
E05012057,1,60
E05012647,2,83
E05012648,2,210
E05012841,1,28
E05012842,0,0
E05013830,0,0
E05013831,0,0
