id,q,r,colour,lad19nmw,count_2018-19,count_2019-20,count_2020-21,count_2021-22,count_2022-23,sum_2018-19,sum_2019-20,sum_2020-21,sum_2021-22,sum_2022-23,las
Hartlepool,8,19,#D60303,,6,3,4,4,2,99185,64466,66050,85981,77000,Hartlepool
Middlesbrough,9,18,#D60303,,8,,1,12,3,189670,88515,6090,394960,106770,Middlesbrough
Redcar and Cleveland,9,19,#D60303,,4,8,3,12,3,82731,169430,65535,595171,155026,Redcar and Cleveland
Stockton-on-Tees,8,18,#D60303,,15,14,8,12,4,299616,504270,119724,319909,185110,Stockton-on-Tees
"Kingston upon Hull, City of",10,15,#F9BC26,,22,28,14,24,6,1047006,768705,558058,953743,156990,"Kingston upon Hull, City of"
East Riding of Yorkshire,11,16,#F9BC26,,10,14,4,8,3,214853,273350,46950,94771,145813,East Riding of Yorkshire
Darlington,7,18,#D60303,,3,7,3,3,2,40914,145330,35533,87567,43500,Darlington
Halton,1,11,#1DD3A7,,1,4,3,1,0,5875,37774,184720,15000,0,Halton
Slough,6,4,#67E767,,7,9,3,7,0,85794,181691,44678,290713,0,Slough
Warrington,2,11,#1DD3A7,,4,3,2,7,3,81233,67947,26562,119749,87651,Warrington
Blackburn with Darwen,4,15,#1DD3A7,,8,9,5,10,1,171810,144933,64996,524582,47710,Blackburn with Darwen
Blackpool,2,15,#1DD3A7,,4,4,2,4,2,47005,59495,21250,155076,152600,Blackpool
North East Lincolnshire,11,14,#F9BC26,,9,5,3,4,5,217875,102263,43465,135521,214855,North East Lincolnshire
York,9,17,#F9BC26,,14,18,10,12,4,202898,756701,121329,308399,72620,York
Derby,6,11,#00B6FF,,12,17,9,21,6,485588,1942727,235860,669790,131322,Derby
North Lincolnshire,10,14,#F9BC26,,5,9,0,5,0,108326,108833,0,131410,0,North Lincolnshire
Leicester,8,8,#00B6FF,,52,46,34,41,6,871247,1020673,616590,1661159,123094,Leicester
Rutland,10,9,#00B6FF,,2,2,1,0,0,14358,22577,5450,0,0,Rutland
Nottingham,8,10,#00B6FF,,51,55,35,48,11,743269,1089429,624387,1457097,265586,Nottingham
"Herefordshire, County of",0,8,#E6007C,,9,17,4,15,6,676518,599684,120020,507480,271456,"Herefordshire, County of"
Telford and Wrekin,2,9,#E6007C,,0,3,0,1,1,0,39305,0,7171,13463,Telford and Wrekin
Stoke-on-Trent,3,10,#E6007C,,10,16,7,10,4,253612,684616,215435,216208,160296,Stoke-on-Trent
Luton,10,7,#FF6700,,20,16,12,19,5,278497,365328,163267,325921,116098,Luton
Bath and North East Somerset,1,3,#178CFF,,21,21,9,18,8,482782,464337,151324,423418,343791,Bath and North East Somerset
Southend-on-Sea,16,6,#FF6700,,12,14,8,14,3,136125,219367,122024,238961,59426,Southend-on-Sea
"Bristol, City of",0,3,#178CFF,,130,138,84,119,28,2914638,2910169,1569670,3116641,1070802,"Bristol, City of"
Brentwood,13,5,#FF6700,,4,5,0,4,0,47666,66238,0,122019,0,Brentwood
North Somerset,0,2,#178CFF,,9,15,10,14,5,150817,402090,193880,401884,158781,North Somerset
Worcester,0,7,#E6007C,,9,9,3,14,5,234949,188716,123695,332280,130211,Worcester
South Gloucestershire,1,4,#178CFF,,9,11,4,8,2,190931,270470,56757,127135,34613,South Gloucestershire
Brent,10,4,#D73058,,25,19,17,22,8,413828,466399,214776,1223332,128460,Brent
Plymouth,-4,-2,#178CFF,,19,24,9,17,6,1052655,1182424,158782,449305,133800,Plymouth
Thurrock,15,4,#FF6700,,6,10,5,4,2,96217,135485,65645,88330,33056,Thurrock
Medway,15,1,#67E767,,11,10,7,13,9,194136,198295,130068,448118,398151,Medway
Torbay,-3,-2,#178CFF,,8,6,3,5,1,219761,80829,70535,143625,19912,Torbay
Bracknell Forest,4,2,#67E767,,1,0,1,0,0,14700,0,15000,0,0,Bracknell Forest
Kingston upon Thames,7,1,#D73058,,9,15,8,14,4,140620,297377,181848,464022,239775,Kingston upon Thames
Swindon,2,4,#178CFF,,9,5,5,4,5,274121,70460,112584,109679,156427,Swindon
