OBJECTID,WD21CD,WD21NM,WD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
47,E05000093,Kenton, ,517617,188189,-0.30392,51.580299,{570B0BE7-5955-4A0F-AC2E-B999F6E6D678},7660.98490395054,2237648.88200229
48,E05000094,Kilburn, ,524960,183799,-0.19956,51.539268,{2F948305-6C6B-4797-8A86-D7D62D51891E},5268.81732611104,941732.304036889
49,E05000095,Mapesbury, ,523467,185440,-0.22050001,51.55434,{B4D67E2E-220B-452D-A166-EE84AC1B9CF6},5804.70463949538,1393425.60934135
50,E05000096,Northwick Park, ,516714,187253,-0.31726,51.572071,{E1B775A6-425A-4AC0-A64D-71C0815C912E},8767.35190855654,2678581.84402467
51,E05000097,Preston, ,518207,186413,-0.296,51.564209,{33799DA1-177B-4068-9428-6F558B9530B5},7412.10217382878,2388246.80169408
52,E05000098,Queens Park, ,524048,183332,-0.21286,51.535271,{F785EB1A-FCC1-4826-A132-DD148A996836},6485.27880792439,1486164.36922837
53,E05000099,Queensbury, ,519675,189604,-0.27375001,51.592579,{BB37B11B-2B13-42A3-A1D2-8D3604A53CBE},6827.90021206833,2056462.17454105
54,E05000100,Stonebridge, ,520082,183658,-0.26991001,51.539059,{6F33A18F-946E-48FB-9E29-AFEA140031D1},11165.5196555499,4055798.587234
55,E05000101,Sudbury, ,516873,185370,-0.31558999,51.555119,{8CF4C7A1-B488-4765-AB96-E2AB847BDF27},8749.74742281009,2123133.60324019
56,E05000102,Tokyngton, ,519356,185188,-0.27985001,51.552959,{C32DE0B4-8E5A-4445-9D2E-76E506A2F725},7748.02753554763,2759199.98288611
57,E05000103,Welsh Harp, ,520882,186662,-0.25734001,51.56588,{E5142207-21C3-4CDA-BD57-FF8DB63DF4AF},9393.32667010472,2319319.49612002
58,E05000104,Wembley Central, ,518205,184839,-0.29655999,51.550072,{880A7B8A-B517-4CDC-85CD-A0F60CBBD5C6},7604.38123496701,1604220.84733914
59,E05000105,Willesden Green, ,522219,184330,-0.23886999,51.54464,{E17AB804-9A38-4D5C-8BDD-ED2CE59CEAF8},7594.64513225519,1547656.64899225
60,E05000106,Bickley, ,542443,169027,0.046418,51.40239,{514C9458-F717-453F-898A-BD387C62743C},10628.3825660475,4869085.84591827
61,E05000107,Biggin Hill, ,541093,159117,0.023097999,51.313671,{08C5F9BE-0C45-413C-B2CB-58B3C6966A2C},16490.9630349541,8280524.99098891
62,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.369839,{7B56CCD0-BAD1-4BAC-8927-542B1028F6D7},19019.1345922613,8308216.68430319
63,E05000109,Bromley Town, ,540273,169268,0.015338,51.40509,{B8EB3307-44C3-4D2E-8B6F-F989087011EE},13703.9959896434,3716453.91777843
64,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.344551,{B577005B-57BD-4E1A-893F-DE5D4A37633F},23228.0488507041,12563168.3573338
65,E05000111,Chislehurst, ,544442,170313,0.075658999,51.413441,{CA3F8F15-869E-41A1-B2D2-6DBD389521F6},17052.4874376161,10438759.0582257
66,E05000112,Clock House, ,536163,169325,-0.04369,51.406609,{0E648871-3674-4E0E-BB24-D42E44498663},9152.53146381728,2267612.64932001
67,E05000113,Copers Cope, ,537815,170017,-0.019680001,51.41243,{F61E5244-64BC-4A50-9C23-BBBF54A5B51B},11547.3044257063,3285921.06307225
68,E05000114,Cray Valley East, ,548054,168281,0.12671401,51.394249,{25CA20DD-823B-4D00-A1CF-9C1B1C2636E1},20264.663255541,13276246.8071016
69,E05000115,Cray Valley West, ,546389,168891,0.10305,51.400162,{D201D77C-876B-42D8-BB8B-3D8C21765D6B},12521.5137278441,3938162.69695116
70,E05000116,Crystal Palace, ,534382,170279,-0.068920001,51.4156,{B92D4611-308F-4F68-B55E-1EC0AB041B9A},7807.77836651354,2292572.16921452
71,E05000117,Darwin, ,542742,160113,0.047141999,51.322208,{EB32037C-9949-4E25-9B9A-F434959F44BF},31537.1523621668,29041574.8594427
72,E05000118,Farnborough and Crofton, ,544022,164853,0.067413002,51.364491,{B5676861-CD6B-4C5F-9BF9-37303DD092C2},14400.7177603522,7005822.27641764
73,E05000119,Hayes and Coney Hall, ,539858,165582,0.0079269996,51.372082,{BE3B8259-D133-4704-8B67-2D7FB6491747},16867.3022210173,10824847.9001518
74,E05000120,Kelsey and Eden Park, ,537051,167655,-0.031569999,51.391392,{FD3FF917-1DF6-4394-A780-6D61FB60BFB1},13380.5677136243,5197223.12159916
75,E05000121,Mottingham and Chislehurst North, ,542016,172310,0.041598,51.431999,{885C3734-9B95-4E9B-A34F-38117FB142C9},8850.07758298551,2441618.56776524
76,E05000122,Orpington, ,546890,165750,0.108949,51.371811,{46FEE390-1BAD-4DCA-A4FD-886C4559B026},9966.12160855641,4256202.5030647
77,E05000123,Penge and Cator, ,535785,170334,-0.048730001,51.41576,{0AA1C233-88D0-4289-A6DC-788F8E23D02D},8664.424261548,2959190.56334593
78,E05000124,Petts Wood and Knoll, ,544582,167490,0.076522,51.388039,{E7990979-191F-4306-A99F-EDE47F5A2A26},13080.1835995744,4301059.65621241
79,E05000125,Plaistow and Sundridge, ,540852,170676,0.024216,51.417599,{30FCB24D-577F-48BB-9695-455D4D1FF6D6},9921.08318669332,4000231.08234568
80,E05000126,Shortlands, ,539010,168318,-0.00318,51.39687,{70D31993-8121-4FDC-8248-BD9E65EA5D2B},8770.1011988295,2456680.78188061
81,E05000127,West Wickham, ,538494,166071,-0.01146,51.376801,{6A99585E-E64A-4774-B5F0-642AF84FB5E1},10326.1524688853,4411307.05077252
82,E05000128,Belsize, ,527236,184686,-0.16643,51.54673,{925FF59A-77C5-4A7B-AB34-03A4ACA2260B},3857.46768733328,780565.247752386
83,E05000129,Bloomsbury, ,529657,181983,-0.13253,51.521889,{B9138EA1-BF9C-4A8F-9C01-5ECC7487AC8A},4891.32913483972,1020125.02327251
84,E05000130,Camden Town with Primrose Hill, ,528438,184062,-0.14934,51.540852,{6F3C03B6-F86C-4F21-999E-BBAD4D3EF9CC},5547.71070194062,1166082.24620828
85,E05000131,Cantelowes, ,529498,184536,-0.13389,51.544868,{F02768A3-DA4C-473B-B829-21009E493E4B},4250.90480907584,758632.653802653
86,E05000132,Fortune Green, ,524881,185331,-0.20015,51.553051,{6FDFA85F-C6A6-4050-9AAE-CE5213BA93BF},5400.36649033054,1005787.58022802
87,E05000133,Frognal and Fitzjohns, ,526006,185705,-0.1838,51.55616,{45A75179-52A5-421D-8FC3-AE5B597F8467},6190.04253369197,1528909.14571308
88,E05000134,Gospel Oak, ,528008,185341,-0.15507001,51.552441,{62648DE3-B983-4E5E-AD10-6E5BACBAC36C},4414.87184164585,692302.1563545
89,E05000135,Hampstead Town, ,526645,186182,-0.17441,51.56031,{5D7DF59F-1DF1-4BFE-A346-0F00F05900B0},8390.81192203344,2448439.6071855
90,E05000136,Haverstock, ,528188,184717,-0.15270001,51.546791,{84676DA6-A9B6-4A37-B8DE-461BF97A8C9F},4136.14139135279,731762.893490787
91,E05000137,Highgate, ,528094,186521,-0.1534,51.56303,{F99679BE-E583-4BD6-A98C-91C276BEE80E},7740.19825012128,3236433.34504817
92,E05000138,Holborn and Covent Garden, ,530905,181690,-0.11467,51.51897,{0E288A7B-7598-4325-9494-799FDBBE2027},5986.65357638211,1194427.38482913
93,E05000139,Kentish Town, ,529104,185285,-0.13929,51.551689,{B11F2314-BC26-41CA-9998-A5F1931CF73E},4991.54541749698,1027660.47037948
94,E05000140,Kilburn, ,525797,183940,-0.18743999,51.540352,{64148BC1-F2F6-4BB2-9A44-3BC2C3F67B57},5057.52752154676,685884.51034875
95,E05000141,King's Cross, ,530347,182567,-0.12238,51.526981,{C905A27C-CDFB-4876-855B-B902A7F9FCA3},3468.05234170879,611863.442181764
96,E05000142,Regent's Park, ,528987,182931,-0.14184,51.53056,{B56330EA-29D2-45CD-A9CE-FDE935077435},5816.80220808603,1347434.44918223
97,E05000143,St Pancras and Somers Town, ,529713,183428,-0.1312,51.534859,{E86680F4-734D-4B67-B157-1EFB584270BC},5460.22121075702,1398951.01059889
98,E05000144,Swiss Cottage, ,526951,184106,-0.17075001,51.54158,{7360D046-4345-4446-B247-BB1281F41DCA},6963.89116565638,1255992.17937546
99,E05000145,West Hampstead, ,525653,184819,-0.1892,51.548279,{0184AAE0-2691-43EF-9F1A-141BC0DBA44A},5285.32423977222,887326.310048791
100,E05000170,Acton Central, ,519997,181039,-0.27202001,51.515541,{6FA3DAC6-FA68-4509-8968-DC07C43CC6F7},7593.34254860031,1774621.18685291
101,E05000171,Cleveland, ,516520,182148,-0.32174,51.52623,{BB42FCF2-3126-48AC-BA2E-BF9F15A13F21},9263.58898117158,2228551.88655227
102,E05000172,Dormers Wells, ,513742,181092,-0.36210999,51.5173,{5030DD5D-92DF-4C16-BE54-86503F0A04E4},8389.64112476179,2257267.14754833
103,E05000173,Ealing Broadway, ,517288,181128,-0.31101999,51.516899,{A9E50B28-D471-4339-9AFE-0D16F510A9A4},6749.58230236544,1856765.94568131
104,E05000174,Ealing Common, ,518521,180272,-0.29354,51.508949,{CC8F28E8-1255-48E5-90FE-0AD7BF5E158F},6871.51476293512,2140930.58060553
105,E05000175,East Acton, ,520509,182110,-0.26427999,51.525051,{C2C07AAC-4036-434C-AD16-FA4A5EE596B0},13388.1302760105,4271382.43106456
106,E05000176,Elthorne, ,515828,179675,-0.33252999,51.50415,{C9C1DA83-77D2-4C39-AE65-8F40E6E4FC21},7515.75993139653,2002665.49814858
107,E05000177,Greenford Broadway, ,513416,182660,-0.36629999,51.53146,{8792FD75-B398-435E-9301-04CAA2A249E1},11077.4153996189,2516763.38906202
108,E05000178,Greenford Green, ,514686,183987,-0.34757,51.543129,{4F6CF46B-DF62-45EC-BF82-645F666DA8B0},11806.6742504115,3384774.40409604
109,E05000179,Hanger Hill, ,518435,182119,-0.29416001,51.52557,{8B43539C-F6A6-44F5-8DE6-3FB2FFDF2064},10771.6795788924,3273773.79408854
110,E05000180,Hobbayne, ,515236,181403,-0.34049001,51.519798,{27ECECD9-0E97-418F-AA9C-750A24207D70},6742.29450824203,2209361.06351878
111,E05000181,Lady Margaret, ,513205,181636,-0.36967,51.522301,{CEEBB66F-5C27-4135-85F8-A91B39C916BC},6896.27707050323,1542382.97564582
112,E05000182,Northfield, ,516945,179087,-0.31663001,51.498631,{6361AEF0-A5B7-45F2-8376-A1E5213E9D78},7485.79911884304,1541085.89522405
113,E05000183,North Greenford, ,516073,184837,-0.32730001,51.550491,{68CF4D43-3F68-4B55-BC41-C5B3D51594C6},10429.517285055,3255700.75133997
114,E05000184,Northolt Mandeville, ,512749,184562,-0.37531,51.548691,{74DAAB42-EA3E-4599-881D-E668087192D3},8326.20216017804,2755911.89149518
115,E05000185,Northolt West End, ,511302,183434,-0.39651999,51.538841,{59FF9293-050A-4D65-9B6F-71AEB8A93F66},9909.49695693147,3547108.33972385
116,E05000186,Norwood Green, ,513779,179257,-0.36217001,51.500801,{83209869-19A1-471B-8844-0BD250CD2275},10663.054988174,3799480.54775365
117,E05000187,Perivale, ,516484,183227,-0.32190001,51.535931,{13921848-9C48-4EF2-B695-67B4D134FEDD},11524.6235133929,3368101.84248955
118,E05000188,South Acton, ,519732,179923,-0.27621999,51.505562,{DB2A831E-68C8-4715-BAC6-3012FD99F20E},6555.36414447565,1718986.28598694
119,E05000189,Southall Broadway, ,512575,180254,-0.37919,51.51001,{8E56A3FB-383A-428B-96CE-F89C92E07E64},7240.68563445385,1617267.10807475
120,E05000190,Southall Green, ,511762,179168,-0.39124,51.500408,{2FAE785D-E032-49EB-AA1E-F05928041CD8},5964.20369720413,1586007.57747038
121,E05000191,Southfield, ,520694,179377,-0.26255,51.50045,{24BFD579-0E6B-4881-B5C7-9B7DDB08B55C},5404.61928092149,1427210.18801179
122,E05000192,Walpole, ,516957,179928,-0.31617999,51.506191,{DD8B0344-BEF7-4BE7-AE50-296856367BE1},5413.17810410326,1465968.2424398
123,E05000193,Bowes, ,531484,192089,-0.10244,51.612282,{837E298C-20DB-435C-BBEF-E245B465B168},9292.06919987389,1484301.96421197
124,E05000194,Bush Hill Park, ,532941,194687,-0.080420002,51.635288,{1C6B5CD6-BABB-433C-A108-C650AB1D390A},9538.82971103128,2524493.64640975
125,E05000195,Chase, ,531422,199207,-0.10066,51.676262,{E7535529-7A97-4750-9A54-6ECAB83DD594},23736.667255547,16935421.8928286
126,E05000196,Cockfosters, ,527998,197445,-0.1508,51.661221,{6589F4EE-17AE-4B3D-9764-DDB8F6F9EC3C},19931.1416350761,10406142.5914125
127,E05000197,Edmonton Green, ,535044,192950,-0.050719999,51.619179,{CF0E544E-7BEE-4592-AA2D-23018221F23C},9905.9638229009,3129255.90327983
128,E05000198,Enfield Highway, ,536383,197335,-0.029689999,51.65826,{7DE00140-E12F-43E0-9946-C3B55F0EDD33},10053.8225400694,4636589.525925
129,E05000199,Enfield Lock, ,536635,198893,-0.02544,51.672199,{4D601A56-D128-48C3-80F2-10EC971A1FD6},8336.78362735494,3252249.2677973
130,E05000200,Grange, ,532157,195682,-0.091370001,51.644409,{E7AB8EDD-D351-448A-8D36-BCB222CFB1D2},9203.96477452516,3285152.06113018
131,E05000201,Haselbury, ,533440,193357,-0.073720001,51.623219,{38856564-ADA8-4D8D-9576-D5847E02D88D},7059.37567103693,1796006.38124746
132,E05000202,Highlands, ,530904,197284,-0.10887,51.6591,{57836673-3ED5-4406-84EE-AB683B1C2C67},11847.3353155667,5088027.96908425
133,E05000203,Jubilee, ,535607,194766,-0.041889999,51.635361,{9D896EC1-101E-464D-99B8-B0D8A74F13FC},11277.4159045543,3928400.23968798
134,E05000204,Lower Edmonton, ,535464,193776,-0.04434,51.626499,{E34795B4-97CB-4797-8021-B1667DCB4AF6},8705.80958546762,2181228.34258948
135,E05000205,Palmers Green, ,531835,192895,-0.097070001,51.619438,{B7E17631-BA3B-4831-B979-AB6148A6EF45},6837.73926442447,1942130.62863193
136,E05000206,Ponders End, ,536187,195789,-0.033119999,51.644409,{D3F145FE-88E1-4FEC-81AB-B85D7F83DBEA},9390.99133589345,3541917.29079671
137,E05000207,Southbury, ,534114,196542,-0.062770002,51.65168,{19EFF357-F24D-49A4-BB49-40416575A265},8880.46678208872,2867063.64642774
138,E05000208,Southgate, ,529929,194448,-0.12401,51.633839,{98F358B0-4B94-4C51-992A-F07468902A84},9449.6042271897,2683693.4903487
139,E05000209,Southgate Green, ,529879,192851,-0.12532,51.619499,{D1304FC9-11D8-455A-8C5B-3475BE2580C0},8265.93568864503,2611339.51559163
140,E05000210,Town, ,532992,197449,-0.078639999,51.660099,{3683E53F-9558-4A26-85E5-33AD4A78B665},7284.4554416747,2231375.99846143
141,E05000211,Turkey Street, ,535274,198954,-0.045079999,51.67308,{2A5B0DF7-CA80-44A8-92D2-52A9C7E8E6DE},6897.04956705301,2261502.54743281
142,E05000212,Upper Edmonton, ,534193,192015,-0.063369997,51.610981,{6DEDD809-0791-448A-A806-F6E42C6BC549},10151.7246884406,2643360.63126304
143,E05000213,Winchmore Hill, ,531301,193979,-0.10437,51.629311,{70D52948-EEB8-4814-A322-2288CEE6739B},9125.71546275926,2760676.16371959
144,E05000214,Abbey Wood, ,546816,178669,0.113238,51.487911,{D606BD62-419C-48BB-B220-D9C4935EAE26},7871.41014445428,2654110.86459313
145,E05000215,Blackheath Westcombe, ,540049,177455,0.015356,51.478722,{6A6D1DEB-F623-4487-9BE0-482B1A3DA50C},8692.3291322918,2137721.16370869
146,E05000216,Charlton, ,541457,177891,0.035792001,51.482288,{ADB95CA1-D067-4E5A-AA72-2864D70674DF},7602.27339900817,2031215.64586141
147,E05000217,Coldharbour and New Eltham, ,543435,172426,0.062043998,51.432678,{216C11F2-C3A2-40D0-B362-804806AD97B7},7485.65399596082,2551895.93014109
148,E05000218,Eltham North, ,543431,175383,0.063184001,51.459251,{1D777999-529B-4B2D-BA18-263EC1316A21},8727.5873535143,2555741.32224091
149,E05000219,Eltham South, ,543742,174022,0.067105003,51.446949,{776967A8-48A4-4410-B5D5-B46B5CAE53A2},10892.2146675302,4626970.57877995
150,E05000220,Eltham West, ,541497,175377,0.035362002,51.45969,{A75F322D-23BE-4F68-B083-0B6C022DBD3C},7865.6397251168,2425641.7737055
151,E05000221,Glyndon, ,544655,178804,0.08219,51.489681,{ACC2A2DA-B5D4-4D55-94CE-B2990E4855DD},6958.9804358612,1546906.83912344
152,E05000222,Greenwich West, ,538593,177143,-0.0057100002,51.476269,{5DDCAE19-3B82-4457-8E8C-919E9A3DADE6},10574.7083326743,2528778.89855458
153,E05000223,Kidbrooke with Hornfair, ,541854,176630,0.041000001,51.47086,{E4DDC3DC-99BA-4220-951E-8DF62EE52BD3},7498.99466238454,2374536.00267713
154,E05000224,Middle Park and Sutcliffe, ,541116,173988,0.029328,51.4473,{35F592A3-1B0D-4653-A138-41D93FA9F1B5},11996.6025659386,3293127.30768938
155,E05000225,Peninsula, ,540032,179034,0.015737001,51.492908,{21BA1487-489A-454C-817B-4FF5B851DE4F},9845.88550459779,3414421.38799538
156,E05000226,Plumstead, ,545924,178300,0.100247,51.484829,{B62D5AFE-2C34-4507-AC0B-2D7E3DB68C54},9044.72486127389,2342770.81166394
157,E05000227,Shooters Hill, ,544199,176748,0.074787997,51.471321,{0CE9120C-E5DC-4947-AB15-7647A4EF3AE1},9604.38983422284,3769170.80220093
158,E05000228,Thamesmead Moorings, ,545999,180063,0.102056,51.500648,{086A7154-3B29-4F58-A0AF-FD36CDEE4E6E},8774.74971689897,3912627.42963921
159,E05000229,Woolwich Common, ,543528,177730,0.065531999,51.48032,{8EE7D676-5A56-4D84-B6C8-DD9D57E8CA33},8323.43825280109,2620376.75055649
160,E05000230,Woolwich Riverside, ,542295,178807,0.048222002,51.490311,{DA881F1E-5B44-4026-A441-493F5D7162A8},9357.74453140378,2525219.87385716
161,E05000250,Addison, ,523639,179464,-0.22011,51.500599,{0FB53EAE-4E27-4762-AD1B-F4A9A1C71D6A},4064.6896787341,554846.475907811
162,E05000251,Askew, ,522018,179715,-0.24337,51.503201,{AB1229F4-16FD-4F73-94E7-572021929BC7},5003.82661326504,762981.248402978
163,E05000252,Avonmore and Brook Green, ,524041,178845,-0.21454,51.494949,{589A3B17-E3B5-4658-8123-33E3BE92F056},5457.46104620445,896104.142534943
164,E05000253,College Park and Old Oak, ,522460,181963,-0.23622,51.523312,{1B129B1D-E938-42C2-BDD3-B5B43F4AB704},9028.27427939835,3434317.31707603
165,E05000254,Fulham Broadway, ,525090,177577,-0.19989,51.483318,{2912DC01-6848-41CF-A86F-F7C08FB483E6},3749.21922573902,668752.798503874
166,E05000255,Fulham Reach, ,523773,177856,-0.21875,51.486118,{BC0DA6D4-2281-4A48-B1C4-5F662AC0D266},4693.83364409042,822914.782559447
167,E05000256,Hammersmith Broadway, ,523240,178633,-0.22615001,51.493221,{29BE2586-3347-4C51-ABC7-9F252BE94C40},5585.25650463387,1048752.26288509
168,E05000257,Munster, ,524335,176914,-0.21099,51.477531,{729D0F5B-989C-4C21-9FF1-1261E8B47D9D},3852.62686627973,624271.272020368
169,E05000258,North End, ,524703,178056,-0.20529,51.487709,{3B5CD502-0032-464C-AC0B-BC38B8E9372C},3575.38971729051,635306.411839525
170,E05000259,Palace Riverside, ,523892,176498,-0.21751,51.473881,{65331F48-F14B-46B1-AB9C-AEBEC35918FF},6806.93765376358,1142378.71514245
171,E05000260,Parsons Green and Walham, ,525322,176535,-0.19691999,51.4739,{59E3448A-4845-491E-B687-62EB056FBA7E},5939.69911934792,897175.846682503
172,E05000261,Ravenscourt Park, ,522145,178872,-0.24183001,51.495602,{C51F70C5-FC68-4E9F-B38C-949181FCCFF3},6288.14655676348,1153262.36658069
173,E05000262,Sands End, ,525803,176112,-0.19014999,51.46999,{DB27408D-F39B-4B5B-98F1-2B7472D3169B},5949.1608286352,1141771.00345075
174,E05000263,Shepherd's Bush Green, ,523240,180112,-0.22563,51.506512,{2651C923-25A5-4A4D-8922-547248A77AA2},5435.94631521698,1067319.14132268
175,E05000264,Town, ,524862,176732,-0.20347001,51.475769,{3B34B95D-9D27-429B-AD7C-2FF00184CCF7},3997.47194965249,651313.540479621
176,E05000265,Wormholt and White City, ,522339,180556,-0.23845001,51.510689,{3B644D11-C761-4C25-8045-B6F0CE2BDB71},4240.69283546411,901821.318004424
177,E05000266,Alexandra, ,529522,190387,-0.13139001,51.597439,{ACF59B00-904D-470B-80F9-087F46D65E0F},7994.99328821365,2612349.30574216
