OBJECTID,PCON20CD,PCON20NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
1,E14000530,Aldershot,484884,155126,-0.7841,51.288952,42197.6617288847,-52978156.0157676
2,E14000531,Aldridge-Brownhills,404723,302568,-1.9316601,52.620869,38590.1779551088,-44016547.9783738
3,E14000532,Altrincham and Sale West,374132,389051,-2.3904901,53.397659,47809.300356876,-50930495.5406859
4,E14000533,Amber Valley,440478,349675,-1.3977,53.042831,64666.5866099597,-124646400.763163
5,E14000534,Arundel and South Downs,510686,115542,-0.42635,50.928711,338014.340189774,-645233576.758647
6,E14000535,Ashfield,450035,355939,-1.2542,53.098331,63095.247719434,-107711813.739613
7,E14000536,Ashford,595733,138824,0.79516703,51.115261,154449.53295188,-503672507.537934
8,E14000537,Ashton-under-Lyne,392394,399819,-2.1161101,53.495029,38097.0402958334,-27792148.3168134
9,E14000538,Aylesbury,482160,199541,-0.81282997,51.688622,150691.599889811,-185457075.494196
10,E14000539,Banbury,441108,233685,-1.4026,52.000099,193904.411455997,-463664227.65332
11,E14000540,Barking,546096,184534,0.105303,51.540798,31089.4076029973,-20437703.27137
12,E14000541,Barnsley Central,433719,408537,-1.49228,53.572369,51120.658239874,-48369606.4442371
13,E14000542,Barnsley East,439730,404883,-1.40198,53.539108,59924.1869751239,-86803983.2842729
14,E14000543,Barrow and Furness,325364,484650,-3.1470399,54.252071,226211.695107405,-281322348.900785
15,E14000544,Basildon and Billericay,569070,192467,0.440099,51.605659,38649.2220730791,-60231747.2517434
16,E14000545,Basingstoke,465234,151979,-1.06642,51.263241,47990.4089288479,-58915644.3815344
17,E14000546,Bassetlaw,469769,385125,-0.95315999,53.358429,142677.003948636,-479521828.692282
18,E14000547,Bath,374693,164413,-2.36499,51.378189,34772.06313545,-28675524.2372307
19,E14000548,Batley and Spen,420570,425305,-1.6897399,53.723759,47395.9031700863,-55060285.5975654
20,E14000549,Battersea,527494,175640,-0.16598,51.46537,22160.9514948964,-10276175.1158468
21,E14000550,Beaconsfield,498198,185455,-0.58484,51.559441,105905.25966264,-176255335.245673
22,E14000551,Beckenham,540141,167040,0.012563,51.385109,36849.3162485306,-34484196.2107437
23,E14000552,Bedford,505470,248675,-0.46072,52.126339,35848.1357823124,-33939230.9051311
24,E14000553,Bermondsey and Old Southwark,533844,178920,-0.073380001,51.493389,21763.9797106245,-10432838.8585768
25,E14000554,Berwick-upon-Tweed,404421,611897,-1.9317501,55.40099,432660.990203838,-2385511213.18817
26,E14000555,Bethnal Green and Bow,535338,182776,-0.050390001,51.527679,16144.5056566194,-9168492.70464917
27,E14000556,Beverley and Holderness,523452,430761,-0.12892,53.75861,250210.201880246,-774555234.778093
28,E14000557,Bexhill and Battle,572483,119005,0.453908,50.944672,183977.718356201,-529026117.598806
29,E14000558,Bexleyheath and Crayford,549969,175942,0.15745901,51.462582,32389.6638972,-21625216.3421344
30,E14000559,Birkenhead,330479,388287,-3.04673,53.386841,24493.0140908674,-25121123.4675056
31,E14000560,"Birmingham, Edgbaston",402500,283463,-1.96463,52.449131,30690.529212651,-28317158.0919784
32,E14000561,"Birmingham, Erdington",410573,292673,-1.84556,52.53183,25169.895598596,-22049583.6455965
33,E14000562,"Birmingham, Hall Green",408501,282513,-1.8763601,52.440529,25831.102559537,-19724853.8572003
34,E14000563,"Birmingham, Hodge Hill",410878,287656,-1.84123,52.486729,29661.5693598299,-20513774.0873697
35,E14000564,"Birmingham, Ladywood",407075,288133,-1.89722,52.491081,35991.3925985593,-25744985.9179343
