local_authority_code,created,applied,offered,confirmed,rejected
E06000001,1,0,0,0,0
E06000002,1,1,0,0,0
E06000005,1,0,0,0,0
E06000010,5,4,0,0,0
E06000011,2,1,1,1,0
E06000012,1,1,0,0,0
E06000014,6,2,0,0,0
E06000018,1,0,0,0,0
E06000022,1,0,0,0,0
E06000025,1,0,0,0,0
E06000042,1,1,0,0,0
E06000051,1,0,0,0,0
E06000052,1,1,0,0,0
E06000058,1,1,0,0,0
E06000060,1,0,0,0,0
E06000062,1,1,0,0,0
E07000031,1,0,0,0,0
E07000086,1,1,0,0,0
E07000095,1,0,0,0,0
E07000096,1,1,0,0,0
E07000121,2,1,0,0,0
E07000123,1,0,0,0,0
E07000127,1,1,0,0,0
E07000128,1,1,0,0,0
E07000163,4,2,0,0,0
E07000165,8,4,0,0,0
E07000167,1,1,0,0,0
E07000169,9,6,0,0,0
E07000175,1,0,0,0,0
E07000176,1,0,0,0,0
E07000192,1,1,0,0,0
E07000193,1,0,0,0,0
E07000225,1,0,0,0,0
E08000001,1,1,0,0,0
E08000003,2,1,0,0,0
E08000007,1,0,0,0,0
E08000008,1,1,0,0,0
E08000010,1,1,0,0,0
E08000012,2,0,0,0,0
E08000016,1,0,0,0,0
E08000017,2,0,0,0,0
E08000018,2,0,0,0,0
E08000021,1,0,0,0,0
E08000022,2,0,0,0,0
E08000023,1,0,0,0,0
E08000026,1,0,0,0,0
E08000032,40,19,2,1,0
E08000033,7,5,0,0,0
E08000034,27,17,2,1,0
E08000035,796,465,41,31,1
E08000036,28,16,0,0,0
E08000037,1,1,0,0,0
E09000014,1,1,0,0,0
E09000030,1,1,0,0,0
N09000007,1,1,0,0,0
S12000011,1,0,0,0,0
S12000047,2,2,0,0,0
S12000048,1,0,0,0,0
UNKNOWN,47,27,1,1,0
W06000004,1,0,0,0,0
