date_submitted,la_code,ward_code,count_of_tickets
2022-11-14,NOT_PROVIDED,NOT_PROVIDED,30
2022-11-15,E08000035,E05011409,40
2022-11-16,E08000035,E05011385,20
2022-11-21,E08000035,E05011547,50
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011547,40
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,20
2022-11-22,E08000035,E05011388,30
2022-11-22,E08000035,E05011388,20
2022-11-22,E08000035,E05011388,20
2022-11-22,E08000035,E05011388,30
2022-11-23,E08000035,E05013831,30
2022-11-23,E08000035,E05011388,20
2022-11-23,E08000035,E05011388,30
2022-11-23,E08000035,E05011388,20
2022-11-23,E08000035,E05011388,30
2022-11-23,E08000035,E05011388,30
2022-11-23,E08000035,E05011388,30
2022-11-24,E08000035,E05011390,30
2022-11-24,UNKNOWN,UNKNOWN,20
2022-11-24,E08000035,E05011400,50
2022-11-24,E08000035,E05012647,30
2022-11-24,E08000035,E05011405,40
2022-11-24,E08000035,E05011400,30
2022-11-24,E08000035,E05011395,30
2022-11-24,E08000035,E05011403,20
2022-11-25,UNKNOWN,UNKNOWN,30
2022-11-25,E08000035,E05011405,20
2022-11-25,E08000035,E05011403,20
2022-11-25,E08000035,E05011390,10
2022-11-25,E07000165,E05011329,40
2022-11-25,UNKNOWN,UNKNOWN,40
2022-11-25,E08000035,E05011397,20
2022-11-25,UNKNOWN,UNKNOWN,40
2022-11-25,E08000035,E05011414,30
2022-11-25,UNKNOWN,UNKNOWN,40
2022-11-25,UNKNOWN,UNKNOWN,40
2022-11-25,E08000035,E05011394,40
