Recipient,Activity name,Award amount,Award date,Local authority
Leeds City Council,Light Night Leeds 2019,"£185,000",2019-03-21,Leeds
Leeds City Council,Light Night Leeds 2022,"£150,000",2022-06-29,Leeds
Leeds City Council,Light Night Leeds 2021,"£130,000",2021-06-02,Leeds
Compass Festival,Compass 2020,"£125,000",2019-12-11,Leeds
The Performance Ensemble,1001 Digital Stories of our City,"£125,000",2022-05-04,Leeds
Compass Festival,Compass 2022,"£125,000",2021-12-01,Leeds
Jamaica Society Leeds,OUT OF MANY FESTIVAL,"£100,000",2022-01-12,Leeds
Leeds Library and Information Service,Ask for a Book,"£98,000",2021-12-09,Leeds
Music:Leeds,Launchpad 2020,"£91,852",2020-03-16,Leeds
We Are Ramped CIC,RAMPED & Off-Centre,"£84,448",2022-04-20,Leeds
Akeelah Bertram,Return Phase 2,"£79,161",2020-12-16,Leeds
Transform Theatre Projects,"TRANSFORM 19 - A diverse, democratic international festival","£75,000",2018-08-01,Leeds
Leeds City Council (Leeds International Concert Season),LICS on Tour 2022/23,"£73,815",2022-07-14,Leeds
Transform Theatre Projects,"Transform 21:22 - an inclusive, care-centred 'slow festival' for a post-pandemic world","£70,587",2021-09-22,Leeds
Adam Robinson,Upon The Stair,"£69,432",2019-07-25,Leeds
Mobius Dance Group Limited,Curious Playground Testing & Organisational Development,"£67,694",2020-10-15,Leeds
Leeds City Council,LNL 2020 International Co-Commission Project,"£66,900",2019-11-14,Leeds
Pyramid of Arts,BEYOND Development Scheme for artists with learning disabilities,"£63,378",2020-02-19,Leeds
Harewood House Trust,Harewood Biennial: Radical Acts,"£62,760",2021-01-14,Leeds
Pyramid of Arts,BEYOND Why Don't We?,"£62,600",2022-07-28,Leeds
Harewood House Trust,"Useful Beautiful, why craft matters","£60,000",2019-01-24,Leeds
Space2,Whose Quality is it Anyway?,"£59,956",2018-11-08,Leeds
Music:Leeds,Launchpad 2021/22,"£57,663",2021-06-30,Leeds
Imagine Theatre,Jadek Tour & Organisational Development,"£56,744",2019-05-02,Leeds
Animikii Theatre,The Kaspar Hauser Experiment (Audience Development & Regional Tour 2022),"£55,585",2021-12-01,Leeds
