ward_code,created,applied,offered,confirmed,rejected
E05000650,1,1,0,0,1
E05000789,1,1,0,0,0
E05000813,1,1,1,1,0
E05000994,1,1,1,1,0
E05001076,1,1,1,0,0
E05001123,1,1,0,0,0
E05001341,2,2,0,0,0
E05001342,4,4,0,0,0
E05001343,1,1,1,0,0
E05001344,1,1,1,0,0
E05001345,2,2,2,0,0
E05001347,7,7,3,1,0
E05001348,1,1,0,0,0
E05001349,2,2,2,1,0
E05001350,5,5,3,1,0
E05001353,4,4,2,1,0
E05001354,7,7,1,1,0
E05001355,3,3,0,0,0
E05001356,4,4,3,1,0
E05001357,4,4,3,3,0
E05001358,1,1,0,0,0
E05001362,1,1,1,1,0
E05001365,3,3,2,0,1
E05001366,4,4,2,2,0
E05001367,1,1,1,0,0
E05001368,1,1,1,1,0
E05001369,1,1,0,0,0
E05001371,2,2,1,1,0
E05001372,2,2,1,0,0
E05001373,1,1,0,0,0
E05001374,1,1,0,0,1
E05001377,2,2,0,0,0
E05001381,3,3,2,0,0
E05001382,2,2,0,0,0
E05001384,1,1,0,0,0
E05001385,1,1,0,0,0
E05001386,1,1,0,0,0
E05001389,2,2,0,0,1
E05001391,4,4,4,2,0
E05001392,4,4,2,1,1
E05001393,3,3,2,2,0
E05001396,1,1,0,0,0
E05001397,1,1,1,1,0
E05001398,1,1,0,0,0
E05001400,1,1,1,0,0
E05001401,1,1,0,0,0
E05001402,1,1,0,0,0
E05001403,2,2,1,1,0
E05001405,2,2,2,2,0
E05001407,4,4,2,0,0
E05001408,3,3,3,1,0
E05001409,1,1,1,1,0
E05001444,4,4,3,2,0
E05001445,2,2,2,1,0
E05001446,4,4,3,1,0
E05001447,1,1,0,0,0
E05001448,1,1,1,0,0
E05001451,2,2,2,1,0
E05001452,2,2,0,0,0
E05001453,2,2,0,0,0
E05001454,1,1,0,0,0
E05001455,3,3,1,1,0
E05001456,3,3,1,1,0
E05001457,1,1,1,0,0
E05001458,1,1,1,0,0
E05001459,2,2,1,0,0
E05001460,6,6,1,1,0
E05001461,4,4,2,1,0
E05001462,2,2,0,0,0
E05001463,4,4,3,1,0
E05001464,4,4,2,1,0
E05001648,1,1,0,0,0
E05001700,1,1,1,1,0
E05001717,1,1,1,0,0
E05004697,1,1,0,0,0
E05005373,1,1,0,0,0
E05006203,1,1,1,0,0
E05006306,1,1,1,1,0
E05008524,1,1,1,1,0
E05008558,1,1,1,1,0
E05008560,1,1,1,1,0
E05008562,1,1,1,0,0
E05009003,1,1,1,0,0
E05009319,1,1,1,0,0
E05009665,1,1,1,1,0
E05009666,1,1,0,0,0
E05009668,1,1,1,1,0
E05009938,1,1,0,0,0
E05010044,1,1,0,0,0
E05010056,1,1,1,0,0
E05010057,1,1,0,0,0
E05010058,4,4,2,2,0
E05010059,2,2,2,0,0
E05010318,1,1,1,0,0
E05010319,1,1,0,0,0
E05010322,1,1,1,1,0
E05010323,1,1,0,0,0
E05010324,2,2,2,1,0
E05010325,1,1,0,0,0
E05010330,1,1,0,0,0
E05010412,1,1,1,0,0
E05010431,1,1,1,0,0
E05010528,1,1,1,0,0
E05010748,1,1,1,1,0
E05010775,1,1,1,1,0
E05010810,1,1,1,0,0
E05010976,1,1,0,0,0
E05011151,1,1,1,0,0
E05011179,1,1,1,0,0
E05011312,1,1,0,0,0
E05011314,1,1,0,0,0
E05011319,1,1,1,0,0
E05011323,1,1,0,0,0
E05011325,1,1,0,0,0
E05011326,1,1,0,0,0
E05011327,2,2,2,0,0
E05011332,1,1,1,1,0
E05011333,1,1,1,0,0
E05011345,1,1,0,0,0
E05011346,2,2,2,2,0
E05011360,1,1,1,1,0
E05011363,3,2,1,1,0
E05011368,1,1,1,0,0
E05011384,29,29,16,12,1
E05011385,29,29,15,9,0
E05011387,24,24,14,10,3
E05011388,32,32,19,12,4
E05011389,24,24,17,10,0
E05011390,77,77,57,31,0
E05011391,18,18,10,7,0
E05011394,10,10,5,4,0
E05011395,14,14,10,9,0
E05011396,21,21,7,6,0
E05011397,144,144,125,63,1
E05011399,59,58,39,28,1
E05011400,24,24,13,9,1
E05011401,11,11,6,4,0
E05011402,79,79,57,39,1
E05011403,272,270,253,137,1
E05011404,14,14,8,3,0
E05011405,51,51,32,24,0
E05011406,16,16,9,6,0
E05011407,23,23,8,4,2
E05011409,23,23,11,6,1
E05011410,12,12,8,7,0
E05011411,62,62,37,32,0
E05011413,60,60,46,31,0
E05011414,12,12,6,5,0
E05011457,1,1,0,0,0
E05011486,1,1,0,0,0
E05011526,1,1,1,1,0
E05011531,1,1,0,0,0
E05011540,1,1,1,1,0
E05011547,53,53,29,22,1
E05011549,15,15,11,7,0
E05011977,1,1,0,0,0
E05012188,1,1,0,0,0
E05012240,1,1,1,0,0
E05012281,1,1,0,0,0
E05012383,1,1,1,0,0
E05012647,43,43,20,11,1
E05012648,18,18,8,6,1
E05012651,1,1,1,1,0
E05012841,40,40,26,20,1
E05012842,43,43,24,15,0
E05013019,1,1,0,0,0
E05013168,1,1,1,1,0
E05013244,1,1,1,0,0
E05013284,1,1,0,0,0
E05013592,1,1,0,0,0
E05013765,1,1,0,0,0
E05013830,15,15,5,3,0
E05013831,25,25,14,13,0
E05013855,1,1,0,0,0
N08000333,1,1,0,0,0
UNKNOWN,63,28,17,9,0
W05001117,1,1,1,0,0
