Publication,Subject,Date,Type,Messaging,"Sentiment (positive, negative, neutral)",Scope,Tier (1 or 2),"Print, Online, Broadcast",CIRC,Month
Businessdesk.co.uk,New members of creative team,2021-08-02,news,,Positive ,regional,1.0,Online,228780,2021-08
Yorkshire Evening Post,Column - Jamie Jones Buchanan,2021-08-02,feature,,Positive ,local,1.0,Online,302040,2021-08
Yorkshire Evening Post,Column - Jamie Jones Buchanan,2021-08-02,feature,,Positive ,local,1.0,Print,23055,2021-08
yorkshireeveningpost.co.uk,Column - Jamie Jones Buchanan,2021-08-03,feature,,Positive ,local,1.0,Online,302040,2021-08
Businessdesk.co.uk,Networking event,2021-08-05,news,,Neutral ,regional,1.0,Online,228780,2021-08
Yorkshire Evening Post,Hello Leeds - Cllr Pryor,2021-08-07,feature,,Positive ,local,1.0,Print,23055,2021-08
yorkshireeveningpost.co.uk,Hello Leeds - Cllr Pryor,2021-08-07,feature,,Positive ,local,1.0,Online,302040,2021-08
Yorkshire Evening Post,Column - Local business engagement,2021-08-07,feature,,Positive ,local,1.0,Print,23055,2021-08
yorkshireeveningpost.co.uk,Column - Local business engagement,2021-08-07,feature,,Positive ,local,1.0,Online,302040,2021-08
cityam.com,London needs to work with cities around the country for economic recovery,2021-08-09,mention,,Positive ,national/trade,1.0,Online,2000000,2021-08
Yorkshire Post,Kully Thiarai - comment on WY cultural economy,2021-08-10,feature,,Positive ,regional,1.0,Print,21801,2021-08
Yorkshirepost.co.uk,Kully Thiarai - comment on WY cultural economy,2021-08-10,feature,,Positive ,regional,1.0,Online,567120,2021-08
Yorkshire Evening Post,Column - Promise of a garden,2021-08-14,feature,,Positive ,local,,Print,23055,2021-08
yorkshireeveningpost.co.uk,Column - Promise of a garden,2021-08-14,feature,,Positive ,local,,Online,302040,2021-08
Yorkshire Evening Post,Hello Leeds - Northern Ballet,2021-08-14,feature,,Neutral ,local,1.0,Print,23055,2021-08
Yorkshireeveningpost.co.uk,Hello Leeds - Northern Ballet,2021-08-14,feature,,Neutral ,local,1.0,Online,302040,2021-08
Yorkshire Evening Post,Column - Sanchez on Carnival,2021-08-21,feature,,Positive ,local,1.0,Print,23055,2021-08
Yorkshireeveningpost.co.uk,Column - Sanchez on Carnival,2021-08-21,feature,,Positive ,local,1.0,Online,302040,2021-08
Yorkshire Evening Post,Hello Leeds - ESA,2021-08-21,feature,,Positive ,local,1.0,Print,23055,2021-08
Yorkshireeveningpost.co.uk,Hello Leeds - ESA,2021-08-21,feature,,Positive ,local,1.0,Online,302040,2021-08
Yorkshire Evening Post,Hello Leeds - Mickelfield craft group,2021-08-28,feature,,Positive ,local,1.0,Print,23055,2021-08
Yorkshireeveningpost.co.uk,Hello Leeds - Mickelfield craft group,2021-08-28,feature,,Positive ,local,1.0,Online,302040,2021-08
Yorkshire Evening Post,Column - Briony Thomas appt,2021-08-29,feature,,Positive ,local,1.0,Print,23055,2021-08
Yorkshireeveningpost.co.uk,Column - Briony Thomas appt,2021-08-29,feature,,Positive ,local,1.0,Online,302040,2021-08
Yorkshire Evening Post,Column - Anna,2021-09-04,comment/opinion,,Positive ,local,1.0,Print,23055,2021-09
Yorkshireeveningpost.co.uk,Column - Anna,2021-09-04,comment/opinion,,Positive ,local,1.0,Online,302040,2021-09
Yorkshire Evening Post,Hello Leeds - Aire Rivers Trust,2021-09-04,feature,,Positive ,local,1.0,Print,23055,2021-09
Yorkshireeveningpost.co.uk,Hello Leeds - Aire Rivers Trust,2021-09-04,feature,,Positive ,local,1.0,Online,302040,2021-09
Yorkshireeveningpost.co.uk,Column - Sharon Watson,2021-09-04,comment/opinion,,Positive ,local,1.0,Online,302040,2021-09
Yorkshire Evening Post,Column - Sharon Watson,2021-09-06,comment/opinion,,Positive ,local,1.0,Print,23055,2021-09
Yorkshire Evening Post,"Column - Matt Allen, role of tech",2021-09-11,comment/opinion,,Positive ,local,1.0,Print,23055,2021-09
Yorkshireeveningpost.co.uk,"Column - Matt Allen, role of tech",2021-09-11,comment/opinion,,Positive ,local,1.0,Online,302040,2021-09
Yorkshire Evening Post,Hello Leeds - Age Proud Festival,2021-09-11,feature,,Positive ,local,1.0,Print,23055,2021-09
Yorkshireeveningpost.co.uk,Hello Leeds - Age Proud Festival,2021-09-11,feature,,Positive ,local,1.0,Online,302040,2021-09
Yorkshire Evening Post,Column - Heritage Open Days,2021-09-18,comment/opinion,,Positive ,local,1.0,Print,23055,2021-09
Yorkshireeveningpost.co.uk,Column - Heritage Open Days,2021-09-18,comment/opinion,,Positive ,local,1.0,Online,302040,2021-09
Yorkshire Evening Post,Hello Leeds - Morley Arts Fest,2021-09-18,feature,,Positive ,local,1.0,Print,23055,2021-09
Yorkshireeveningpost.co.uk,Hello Leeds - Morley Arts Fest,2021-09-18,feature,,Positive ,local,1.0,Online,302040,2021-09
Yorkshire Evening Post,"Column - Niv, Students shaping culture",2021-09-25,comment/opinion,,Positive ,local,1.0,Print,23055,2021-09
Yorkshireeveningpost.co.uk,"Column - Niv, Students shaping culture",2021-09-26,comment/opinion,,Positive ,local,1.0,Online,302040,2021-09
Yorkshire Evening Post,Hello Leeds - Leeds playwright,2021-09-25,feature,,Positive ,local,1.0,Print,23055,2021-09
