date_submitted,ward_code
2022-11-01,E05011404
2022-11-17,UNKNOWN
2022-11-02,E05011387
2022-11-10,E05011407
2022-11-10,E05011414
2022-10-28,UNKNOWN
2022-10-27,UNKNOWN
2022-11-14,E05012842
2022-10-27,UNKNOWN
2022-11-02,E05011400
2022-10-27,UNKNOWN
2022-11-14,E05011397
2022-10-27,UNKNOWN
2022-10-28,UNKNOWN
2022-11-01,E05011403
2022-11-16,E05012648
2022-11-15,E05001373
2022-10-26,UNKNOWN
2022-10-28,UNKNOWN
2022-11-02,E05011411
2022-11-11,E05011549
2022-11-14,E05011397
2022-10-26,UNKNOWN
2022-10-26,UNKNOWN
2022-10-26,UNKNOWN
2022-11-05,E05011402
2022-10-27,UNKNOWN
2022-10-28,UNKNOWN
