event_id,activity_name,is_series,series_name,repeated,repeats,category,artform,start_date,end_date,venue,postcode,audience_in_person,audience_online,participation_type
194670.0,Delivery of Community Engagement Barn Raisers BUILD,Yes,05 - The Barn,,,,,01/05/2023,02/05/2023,,,,,
194672.0,Barn Raiser Bootcamps x 5,Yes,05 - The Barn,,,Participatory activity,,18/02/2023,18/04/2023,,,,,
194673.0,Delivery of Wowsers programme,Yes,05 - The Barn,,,,,18/02/2023,13/05/2023,,,,,
194714.0,The Barn (Launch),Yes,05 - The Barn,,,,,12/05/2023,12/05/2023,,,,,
194721.0,The Barn (Programme),Yes,05 - The Barn,,,,,13/05/2023,28/05/2023,,,,,
194754.0,Test Build,Yes,05 - The Barn,,,,,25/03/2023,26/03/2023,,,,,
194777.0,Delivery of Think Ins,Yes,05 - The Barn,,,,,20/10/2022,18/12/2022,,,,,
195008.0,Activation 1,Yes,02 - Making A Stand,One off,Skip to column I,Performance,,,,,,,,
,Activation 2,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 3,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 4,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 5,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 6,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 7,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 8,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 9,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 10,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 11,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,Activation 12,Yes,02 - Making A Stand,One off,,Performance,,,,,,,,
,The Wild Escape,No,,One off,,Event ,Art,,,,,,,
195021.0,Making A Stand (Launch),Yes,02 - Making A Stand,One off,Skip to column I,Event ,,23/03/2023,23/03/2023,,,,,
195071.0,Making A Stand (Run),Yes,02 - Making A Stand,,,,,23/03/2023,31/12/2023,,,,,
195149.0,Delivery of Skills Development programme with CPWM,Yes,08 - Solstice,It is repeated,14,Participative/ planning,,23/01/2023,31/10/2023,,,,,
195168.0,Early Career Promoter Gig for LEEDS 2023,Yes,08 - Solstice,One off,Skip to column I,Performance,Music,,21/06/2023,,,,,
195690.0,Participant / Volunteer thank you events,Yes,10 - Melt,,,,,12/09/2023,15/10/2023,,,,,
195699.0,Tech,Yes,10 - Melt,,,,,02/09/2023,03/09/2023,,,,,
195701.0,Dress Rehearsal,Yes,10 - Melt,,,,,03/09/2023,03/09/2023,,,,,
195704.0,Melt Performance 1,Yes,10 - Melt,,,,,04/09/2023,04/09/2023,,,,,
195705.0,Melt Performance 2,Yes,10 - Melt,,,,,05/09/2023,05/09/2023,,,,,
195706.0,Melt Performance 3,Yes,10 - Melt,,,,,06/09/2023,06/09/2023,,,,,
195707.0,Melt Performance 4,Yes,10 - Melt,,,,,07/09/2023,07/09/2023,,,,,
195708.0,Melt Performance 5,Yes,10 - Melt,,,,,08/09/2023,08/09/2023,,,,,
197499.0,Delivery of Hosts Training Programme Phase 1,Yes,12 - My LEEDS 2023,,,,,04/10/2022,31/01/2023,,,,,
197521.0,Delivery of Hosts Training Programme Phase 2,Yes,12 - My LEEDS 2023,,,,,06/02/2023,28/08/2023,,,,,
197563.0,The Gift installed in wards (The Gift),Yes,12 - My LEEDS 2023,,,,,08/07/2023,09/07/2023,,,,,
197572.0,My Leeds Event Day 1 (Live Activation),Yes,12 - My LEEDS 2023,,,,,05/08/2023,05/08/2023,,,,,
197573.0,My Leeds Event Day 2 (Live Activation),Yes,12 - My LEEDS 2023,,,,,06/08/2023,06/08/2023,,,,,
197586.0,Delivery of Hosts Training Programme Phase 3,Yes,12 - My LEEDS 2023,,,,,04/09/2023,29/12/2023,,,,,
197594.0,Participant / Volunteer thank you events (Hosts),Yes,12 - My LEEDS 2023,,,,,22/12/2023,22/12/2023,,,,,
197647.0,Delivery of Community Engagement programme,Yes,09 - Smeaton300,,,,,05/10/2022,30/01/2023,,,,,
197649.0,Delivery of Skills Development programme,Yes,09 - Smeaton300,,,,,06/02/2023,29/05/2023,,,,,
197677.0,Participant / Volunteer thank you events,Yes,09 - Smeaton300,,,,,16/12/2023,16/12/2023,,,,,
197699.0,Smeaton300 Observatory Tour,Yes,09 - Smeaton300,,,,,08/06/2023,17/12/2023,,,,,
197736.0,Delivery of Formal Education programme,Yes,09 - Smeaton300,,,,,01/01/2023,02/02/2023,,,,,
197756.0,Smeaton300 Talks Event,Yes,09 - Smeaton300,,,,,10/10/2023,23/10/2023,,,,,
197766.0,Participant / Volunteer thank you events,Yes,09 - Smeaton300,,,,,06/11/2023,10/11/2023,,,,,
197846.0,Ballot Workshops in Schools,Yes,01 - The Awakening,,,,,31/10/2022,25/11/2022,,,,,
197996.0,Authors Abroad Slam Poetry Event,No,Skip to column J,,,,,02/01/2023,31/03/2023,,,,,
198336.0,Deer Shed Schools Day & Learning Activities,No,Skip to column J,,,,,17/04/2023,21/07/2023,,,,,
202874.0,Delivery of Community Engagement programme - Ofrendas,Yes,11 - All That Lives,,,,,01/10/2022,01/05/2023,,,,,
202875.0,Delivery of Skills Development programme,Yes,11 - All That Lives,,,,,01/01/2023,01/04/2023,,,,,
